brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
Toyota,Toyota Camry,Hybrid,Petrol,Sedan,Automatic,3rd Owner,3,70000,2014,2014,1949.5,19.16,158.2,213.0,White,2AR FXE Petrol Engine ,6 Speed ,FWD,Power,170.0,12.9,975000.0,Kolkata,11
Datsun,Datsun RediGO,T Option,Petrol,Hatchback,Manual,1st Owner,1,23981,2017,2017,799.0,22.7,53.64,72.0,Red,0.8L Petrol Engine,5-Speed,2WD,Power,170.0,12.9,266000.0,Kolkata,8
Renault,Renault Kiger,RXT AMT,Petrol,SUV,Automatic,1st Owner,1,7100,2021,2021,999.0,19.03,71.01,96.0,Blue,1.0L energy,5 Speed,,Electric,170.0,12.9,595000.0,Kolkata,4
Hyundai,Hyundai i20,1.2 Sportz,Petrol,Hatchback,Manual,2nd Owner,2,71574,2011,2012,1197.0,17.0,80.0,11.4,Red,In-Line Engine,5 Speed,FWD,Power,170.0,12.96,223000.0,Kolkata,14
Audi,Audi Q3,35 TDI Quattro Premium,Diesel,SUV,Automatic,2nd Owner,2,50000,2014,2014,1949.5,15.73,174.33,372.5,White,TDI Diesel Engine,7-Speed S-Tronic ,AWD,Power,182.5,11.549999999999997,1200000.0,Kolkata,11
Maruti,Maruti Wagon R,VXI AMT 1.2,Petrol,Hatchback,Automatic,1st Owner,1,35629,2018,2018,1197.0,20.52,81.8,113.0,Brown,K12M Petrol Engine,5 Speed,FWD,Power,170.0,14.350000000000001,425000.0,Kolkata,7
Hyundai,Hyundai Santro,Sportz AMT,Petrol,Hatchback,Automatic,2nd Owner,2,11476,2020,2020,1086.0,20.3,68.05,99.0,Silver,1.1 L Petrol,5 Speed,FWD,Electric,170.0,12.9,596000.0,Kolkata,5
Renault,Renault KWID,RXT Optional,Petrol,Hatchback,Manual,1st Owner,1,31000,2018,2018,799.0,25.17,53.3,72.0,Silver,Petrol Engine,5 Speed,FWD,Power,154.5,14.350000000000001,250000.0,Kolkata,7
Maruti,Maruti Swift Dzire,VXi,Petrol,Sedan,Manual,2nd Owner,2,41005,2011,2011,1298.0,17.5,85.8,114.0,Silver,In-Line Engine,5 Speed,2 WD,Power,170.0,12.9,221000.0,Kolkata,14
Maruti,Maruti Wagon R,LX BS IV,Petrol,Hatchback,Manual,1st Owner,1,60055,2010,2010,998.0,18.9,67.1,90.0,Red,K Series Petrol Engine,5 Speed,FWD,Manual,170.0,12.9,208000.0,Kolkata,15
Maruti,Maruti Swift,VXI,Petrol,Hatchback,Manual,1st Owner,1,65005,2013,2013,1197.0,18.6,85.8,114.0,Grey,K Series Petrol Engine,5 Speed,FWD,Power,160.0,12.29,311000.0,Kolkata,12
